"X","Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday.x","Dept","Weekly_Sales","IsHoliday.y","Week","Year","Month","Type","Size"
2751,1,"10/29/2010",69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,FALSE,1,38640.93,FALSE,44,2010,10,"A",151315
2819,1,"11/5/2010",58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,FALSE,1,34238.88,FALSE,45,2010,11,"A",151315
2889,1,"11/12/2010",59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,FALSE,1,19549.39,FALSE,46,2010,11,"A",151315
2963,1,"11/19/2010",51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,FALSE,1,19552.84,FALSE,47,2010,11,"A",151315
3021,1,"11/26/2010",64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,TRUE,1,18820.29,TRUE,48,2010,11,"A",151315
3126,1,"12/3/2010",49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,FALSE,1,22517.56,FALSE,49,2010,12,"A",151315
3169,1,"12/10/2010",46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,FALSE,1,31497.65,FALSE,50,2010,12,"A",151315
3242,1,"12/17/2010",49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,FALSE,1,44912.86,FALSE,51,2010,12,"A",151315
3301,1,"12/24/2010",52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,FALSE,1,55931.23,FALSE,52,2010,12,"A",151315
3393,1,"12/31/2010",48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,TRUE,1,19124.58,TRUE,53,2010,12,"A",151315
3495,1,"1/7/2011",48.27,2.976,NA,NA,NA,NA,NA,211.4047419,7.742,FALSE,1,15984.24,FALSE,2,2011,1,"A",151315
3561,1,"1/14/2011",35.4,2.983,NA,NA,NA,NA,NA,211.4574109,7.742,FALSE,1,17359.7,FALSE,3,2011,1,"A",151315
3634,1,"1/21/2011",44.04,3.016,NA,NA,NA,NA,NA,211.8272343,7.742,FALSE,1,17341.47,FALSE,4,2011,1,"A",151315
3711,1,"1/28/2011",43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7.742,FALSE,1,18461.18,FALSE,5,2011,1,"A",151315
3785,1,"2/4/2011",42.27,2.989,NA,NA,NA,NA,NA,212.5668812,7.742,FALSE,1,21665.76,FALSE,6,2011,2,"A",151315
3825,1,"2/11/2011",36.39,3.022,NA,NA,NA,NA,NA,212.9367046,7.742,TRUE,1,37887.17,TRUE,7,2011,2,"A",151315
3918,1,"2/18/2011",57.36,3.045,NA,NA,NA,NA,NA,213.2478853,7.742,FALSE,1,46845.87,FALSE,8,2011,2,"A",151315
3986,1,"2/25/2011",62.9,3.065,NA,NA,NA,NA,NA,213.535609,7.742,FALSE,1,19363.83,FALSE,9,2011,2,"A",151315
4054,1,"3/4/2011",59.58,3.288,NA,NA,NA,NA,NA,213.8233327,7.742,FALSE,1,20327.61,FALSE,10,2011,3,"A",151315
4120,1,"3/11/2011",53.56,3.459,NA,NA,NA,NA,NA,214.1110564,7.742,FALSE,1,21280.4,FALSE,11,2011,3,"A",151315
4184,1,"3/18/2011",62.76,3.488,NA,NA,NA,NA,NA,214.3627114,7.742,FALSE,1,20334.23,FALSE,12,2011,3,"A",151315
4265,1,"3/25/2011",69.97,3.473,NA,NA,NA,NA,NA,214.5999389,7.742,FALSE,1,20881.1,FALSE,13,2011,3,"A",151315
4326,1,"4/1/2011",59.17,3.524,NA,NA,NA,NA,NA,214.8371664,7.682,FALSE,1,20398.09,FALSE,14,2011,4,"A",151315
4389,1,"4/8/2011",67.84,3.622,NA,NA,NA,NA,NA,215.0743939,7.682,FALSE,1,23873.79,FALSE,15,2011,4,"A",151315
4450,1,"4/15/2011",71.27,3.743,NA,NA,NA,NA,NA,215.2918561,7.682,FALSE,1,28762.37,FALSE,16,2011,4,"A",151315
4539,1,"4/22/2011",72.99,3.807,NA,NA,NA,NA,NA,215.4599053,7.682,FALSE,1,50510.31,FALSE,17,2011,4,"A",151315
4601,1,"4/29/2011",72.03,3.81,NA,NA,NA,NA,NA,215.6279544,7.682,FALSE,1,41512.39,FALSE,18,2011,4,"A",151315
4715,1,"5/6/2011",64.61,3.906,NA,NA,NA,NA,NA,215.7960035,7.682,FALSE,1,20138.19,FALSE,19,2011,5,"A",151315
4762,1,"5/13/2011",75.64,3.899,NA,NA,NA,NA,NA,215.9640526,7.682,FALSE,1,17235.15,FALSE,20,2011,5,"A",151315
4858,1,"5/20/2011",67.63,3.907,NA,NA,NA,NA,NA,215.7339202,7.682,FALSE,1,15136.78,FALSE,21,2011,5,"A",151315
4921,1,"5/27/2011",77.72,3.786,NA,NA,NA,NA,NA,215.5037878,7.682,FALSE,1,15741.6,FALSE,22,2011,5,"A",151315
4997,1,"6/3/2011",83,3.699,NA,NA,NA,NA,NA,215.2736553,7.682,FALSE,1,16434.15,FALSE,23,2011,6,"A",151315
5055,1,"6/10/2011",83.13,3.648,NA,NA,NA,NA,NA,215.0435229,7.682,FALSE,1,15883.52,FALSE,24,2011,6,"A",151315
5122,1,"6/17/2011",86.41,3.637,NA,NA,NA,NA,NA,214.9980596,7.682,FALSE,1,14978.09,FALSE,25,2011,6,"A",151315
5189,1,"6/24/2011",83.58,3.594,NA,NA,NA,NA,NA,215.0910982,7.682,FALSE,1,15682.81,FALSE,26,2011,6,"A",151315
5238,1,"7/1/2011",85.55,3.524,NA,NA,NA,NA,NA,215.1841368,7.962,FALSE,1,15363.5,FALSE,27,2011,7,"A",151315
5303,1,"7/8/2011",85.83,3.48,NA,NA,NA,NA,NA,215.2771754,7.962,FALSE,1,16148.87,FALSE,28,2011,7,"A",151315
5389,1,"7/15/2011",88.54,3.575,NA,NA,NA,NA,NA,215.3611087,7.962,FALSE,1,15654.85,FALSE,29,2011,7,"A",151315
5481,1,"7/22/2011",85.77,3.651,NA,NA,NA,NA,NA,215.4222784,7.962,FALSE,1,15766.6,FALSE,30,2011,7,"A",151315
5564,1,"7/29/2011",86.83,3.682,NA,NA,NA,NA,NA,215.4834482,7.962,FALSE,1,15922.41,FALSE,31,2011,7,"A",151315
5631,1,"8/5/2011",91.65,3.684,NA,NA,NA,NA,NA,215.544618,7.962,FALSE,1,15295.55,FALSE,32,2011,8,"A",151315
5660,1,"8/12/2011",90.76,3.638,NA,NA,NA,NA,NA,215.6057878,7.962,FALSE,1,14539.79,FALSE,33,2011,8,"A",151315
5728,1,"8/19/2011",89.94,3.554,NA,NA,NA,NA,NA,215.6693107,7.962,FALSE,1,14689.24,FALSE,34,2011,8,"A",151315
5820,1,"8/26/2011",87.96,3.523,NA,NA,NA,NA,NA,215.7332258,7.962,FALSE,1,14537.37,FALSE,35,2011,8,"A",151315
5940,1,"9/2/2011",87.83,3.533,NA,NA,NA,NA,NA,215.7971409,7.962,FALSE,1,15277.27,FALSE,36,2011,9,"A",151315
6005,1,"9/9/2011",76,3.546,NA,NA,NA,NA,NA,215.861056,7.962,TRUE,1,17746.68,TRUE,37,2011,9,"A",151315
6081,1,"9/16/2011",79.94,3.526,NA,NA,NA,NA,NA,216.0410526,7.962,FALSE,1,18535.48,FALSE,38,2011,9,"A",151315
6110,1,"9/23/2011",75.8,3.467,NA,NA,NA,NA,NA,216.3758246,7.962,FALSE,1,17859.3,FALSE,39,2011,9,"A",151315
6174,1,"9/30/2011",79.69,3.355,NA,NA,NA,NA,NA,216.7105965,7.962,FALSE,1,18337.68,FALSE,40,2011,9,"A",151315
6257,1,"10/7/2011",69.31,3.285,NA,NA,NA,NA,NA,217.0453684,7.866,FALSE,1,20797.58,FALSE,41,2011,10,"A",151315
6346,1,"10/14/2011",71.74,3.274,NA,NA,NA,NA,NA,217.3552733,7.866,FALSE,1,23077.55,FALSE,42,2011,10,"A",151315
6388,1,"10/21/2011",63.71,3.353,NA,NA,NA,NA,NA,217.5159762,7.866,FALSE,1,23351.8,FALSE,43,2011,10,"A",151315
6490,1,"10/28/2011",66.57,3.372,NA,NA,NA,NA,NA,217.6766791,7.866,FALSE,1,31579.9,FALSE,44,2011,10,"A",151315
6549,1,"11/4/2011",54.98,3.332,NA,NA,NA,NA,NA,217.837382,7.866,FALSE,1,39886.06,FALSE,45,2011,11,"A",151315
6600,1,"11/11/2011",59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,FALSE,1,18689.54,FALSE,46,2011,11,"A",151315
6661,1,"11/18/2011",62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,FALSE,1,19050.66,FALSE,47,2011,11,"A",151315
6784,1,"11/25/2011",60.14,3.236,410.31,98,55805.51,8,554.92,218.4676211,7.866,TRUE,1,20911.25,TRUE,48,2011,11,"A",151315
6866,1,"12/2/2011",48.91,3.172,5629.51,68,1398.11,2084.64,20475.32,218.7147333,7.866,FALSE,1,25293.49,FALSE,49,2011,12,"A",151315
6924,1,"12/9/2011",43.93,3.158,4640.65,19,105.02,3639.42,14461.82,218.9618456,7.866,FALSE,1,33305.92,FALSE,50,2011,12,"A",151315
6956,1,"12/16/2011",51.63,3.159,5011.32,67,347.37,225.79,4011.37,219.1794533,7.866,FALSE,1,45773.03,FALSE,51,2011,12,"A",151315
7060,1,"12/23/2011",47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,FALSE,1,46788.75,FALSE,52,2011,12,"A",151315
7114,1,"12/30/2011",44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,TRUE,1,23350.88,TRUE,53,2011,12,"A",151315
7193,1,"1/6/2012",49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,FALSE,1,16567.69,FALSE,1,2012,1,"A",151315
7242,1,"1/13/2012",48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,FALSE,1,16894.4,FALSE,2,2012,1,"A",151315
7313,1,"1/20/2012",54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,FALSE,1,18365.1,FALSE,3,2012,1,"A",151315
7387,1,"1/27/2012",54.26,3.29,1164.46,1082.74,44,11,1222.19,220.0788523,7.348,FALSE,1,18378.16,FALSE,4,2012,1,"A",151315
7457,1,"2/3/2012",56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,FALSE,1,23510.49,FALSE,5,2012,2,"A",151315
7549,1,"2/10/2012",48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,TRUE,1,36988.49,TRUE,6,2012,2,"A",151315
7633,1,"2/17/2012",45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,FALSE,1,54060.1,FALSE,7,2012,2,"A",151315
7704,1,"2/24/2012",57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,FALSE,1,20124.22,FALSE,8,2012,2,"A",151315
7786,1,"3/2/2012",60.96,3.63,15441.4,1569,10.8,25390.88,8067.61,220.8480454,7.348,FALSE,1,20113.03,FALSE,9,2012,3,"A",151315
7819,1,"3/9/2012",58.76,3.669,10331.04,151.88,6,671.43,5509.84,221.0591887,7.348,FALSE,1,21140.07,FALSE,10,2012,3,"A",151315
7897,1,"3/16/2012",64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,FALSE,1,22366.88,FALSE,11,2012,3,"A",151315
7981,1,"3/23/2012",65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,FALSE,1,22107.7,FALSE,12,2012,3,"A",151315
8058,1,"3/30/2012",67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,FALSE,1,28952.86,FALSE,13,2012,3,"A",151315
8116,1,"4/6/2012",70.43,3.891,10121.97,NA,77.98,3750.59,4510.72,221.4356112,7.143,FALSE,1,57592.12,FALSE,14,2012,4,"A",151315
8186,1,"4/13/2012",69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,FALSE,1,34684.21,FALSE,15,2012,4,"A",151315
8279,1,"4/20/2012",66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,FALSE,1,16976.19,FALSE,16,2012,4,"A",151315
8332,1,"4/27/2012",67.23,3.814,3221.25,NA,35.49,577.14,6222.25,221.6179368,7.143,FALSE,1,16347.6,FALSE,17,2012,4,"A",151315
8400,1,"5/4/2012",75.55,3.749,21290.13,NA,69.89,4977.35,3261.04,221.6718,7.143,FALSE,1,17147.44,FALSE,18,2012,5,"A",151315
8463,1,"5/11/2012",73.77,3.688,8351.4,NA,10.52,2443.14,3127.88,221.7256632,7.143,FALSE,1,18164.2,FALSE,19,2012,5,"A",151315
8541,1,"5/18/2012",70.33,3.63,6154.14,NA,45.11,1675.49,5508.18,221.742674,7.143,FALSE,1,18517.79,FALSE,20,2012,5,"A",151315
8606,1,"5/25/2012",77.22,3.561,4039.39,NA,745.19,1429.96,3631.13,221.744944,7.143,FALSE,1,16963.55,FALSE,21,2012,5,"A",151315
8731,1,"6/1/2012",77.95,3.501,6086.21,12,370.51,148.75,3690.85,221.7472139,7.143,FALSE,1,16065.49,FALSE,22,2012,6,"A",151315
8790,1,"6/8/2012",78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,FALSE,1,17666,FALSE,23,2012,6,"A",151315
8862,1,"6/15/2012",79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,FALSE,1,17558.82,FALSE,24,2012,6,"A",151315
8940,1,"6/22/2012",78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,FALSE,1,16633.41,FALSE,25,2012,6,"A",151315
9020,1,"6/29/2012",84.88,3.286,3965.73,161.6,NA,435.99,4212.97,221.8434,7.143,FALSE,1,15722.82,FALSE,26,2012,6,"A",151315
9080,1,"7/6/2012",81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,FALSE,1,17823.37,FALSE,27,2012,7,"A",151315
9147,1,"7/13/2012",77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,FALSE,1,16566.18,FALSE,28,2012,7,"A",151315
9213,1,"7/20/2012",80.42,3.311,3213,313.72,9.53,2262.02,3228.19,221.9327267,6.908,FALSE,1,16348.06,FALSE,29,2012,7,"A",151315
9258,1,"7/27/2012",82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,FALSE,1,15731.18,FALSE,30,2012,7,"A",151315
9335,1,"8/3/2012",86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,FALSE,1,16628.31,FALSE,31,2012,8,"A",151315
9382,1,"8/10/2012",85.05,3.494,11436.22,245,6.85,6964.26,4836.22,221.9584329,6.908,FALSE,1,16119.92,FALSE,32,2012,8,"A",151315
9458,1,"8/17/2012",84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,FALSE,1,17330.7,FALSE,33,2012,8,"A",151315
9539,1,"8/24/2012",77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,FALSE,1,16286.4,FALSE,34,2012,8,"A",151315
9610,1,"8/31/2012",80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,FALSE,1,16680.24,FALSE,35,2012,8,"A",151315
9716,1,"9/7/2012",83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,TRUE,1,18322.37,TRUE,36,2012,9,"A",151315
9756,1,"9/14/2012",74.97,3.717,17212.52,7,18.79,1523.11,7992.72,222.5820193,6.908,FALSE,1,19616.22,FALSE,37,2012,9,"A",151315
9847,1,"9/21/2012",69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,FALSE,1,19251.5,FALSE,38,2012,9,"A",151315
9928,1,"9/28/2012",76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,FALSE,1,18947.81,FALSE,39,2012,9,"A",151315
10008,1,"10/5/2012",68.55,3.617,8077.89,NA,18.22,3617.43,3626.14,223.1814772,6.573,FALSE,1,21904.47,FALSE,40,2012,10,"A",151315
10086,1,"10/12/2012",62.99,3.601,2086.18,NA,8.11,602.36,5926.45,223.3812965,6.573,FALSE,1,22764.01,FALSE,41,2012,10,"A",151315
10131,1,"10/19/2012",67.97,3.594,950.33,NA,4.93,80.25,2312.85,223.4257233,6.573,FALSE,1,24185.27,FALSE,42,2012,10,"A",151315
10175,1,"10/26/2012",69.16,3.506,2585.85,31.75,6,1057.16,1305.01,223.4442513,6.573,FALSE,1,27390.81,FALSE,43,2012,10,"A",151315
10245,10,"2/5/2010",54.34,2.962,NA,NA,NA,NA,NA,126.4420645,9.765,FALSE,1,40212.84,FALSE,6,2010,2,"B",126512
10340,10,"2/12/2010",49.96,2.828,NA,NA,NA,NA,NA,126.4962581,9.765,TRUE,1,67699.32,TRUE,7,2010,2,"B",126512
10436,10,"2/19/2010",58.22,2.915,NA,NA,NA,NA,NA,126.5262857,9.765,FALSE,1,49748.33,FALSE,8,2010,2,"B",126512
10490,10,"2/26/2010",52.77,2.825,NA,NA,NA,NA,NA,126.5522857,9.765,FALSE,1,33601.22,FALSE,9,2010,2,"B",126512
10564,10,"3/5/2010",55.92,2.877,NA,NA,NA,NA,NA,126.5782857,9.765,FALSE,1,36572.44,FALSE,10,2010,3,"B",126512
10626,10,"3/12/2010",52.33,3.034,NA,NA,NA,NA,NA,126.6042857,9.765,FALSE,1,36380.7,FALSE,11,2010,3,"B",126512
10697,10,"3/19/2010",61.46,3.054,NA,NA,NA,NA,NA,126.6066452,9.765,FALSE,1,38252.33,FALSE,12,2010,3,"B",126512
10774,10,"3/26/2010",60.05,2.98,NA,NA,NA,NA,NA,126.6050645,9.765,FALSE,1,51956.73,FALSE,13,2010,3,"B",126512
10871,10,"4/2/2010",63.66,3.086,NA,NA,NA,NA,NA,126.6034839,9.524,FALSE,1,131853.01,FALSE,14,2010,4,"B",126512
10936,10,"4/9/2010",65.29,3.004,NA,NA,NA,NA,NA,126.6019032,9.524,FALSE,1,89207.79,FALSE,15,2010,4,"B",126512
11022,10,"4/16/2010",69.74,3.109,NA,NA,NA,NA,NA,126.5621,9.524,FALSE,1,29765.85,FALSE,16,2010,4,"B",126512
11121,10,"4/23/2010",66.42,3.05,NA,NA,NA,NA,NA,126.4713333,9.524,FALSE,1,27082.12,FALSE,17,2010,4,"B",126512
11176,10,"4/30/2010",69.76,3.105,NA,NA,NA,NA,NA,126.3805667,9.524,FALSE,1,27592.84,FALSE,18,2010,4,"B",126512
11257,10,"5/7/2010",71.06,3.127,NA,NA,NA,NA,NA,126.2898,9.524,FALSE,1,29819.93,FALSE,19,2010,5,"B",126512
11324,10,"5/14/2010",73.88,3.145,NA,NA,NA,NA,NA,126.2085484,9.524,FALSE,1,30021.02,FALSE,20,2010,5,"B",126512
11379,10,"5/21/2010",78.32,3.12,NA,NA,NA,NA,NA,126.1843871,9.524,FALSE,1,30251.76,FALSE,21,2010,5,"B",126512
11461,10,"5/28/2010",76.67,3.058,NA,NA,NA,NA,NA,126.1602258,9.524,FALSE,1,29958.02,FALSE,22,2010,5,"B",126512
11552,10,"6/4/2010",82.82,2.941,NA,NA,NA,NA,NA,126.1360645,9.524,FALSE,1,27739.8,FALSE,23,2010,6,"B",126512
11624,10,"6/11/2010",89.67,3.057,NA,NA,NA,NA,NA,126.1119032,9.524,FALSE,1,26155.91,FALSE,24,2010,6,"B",126512
11707,10,"6/18/2010",83.49,2.935,NA,NA,NA,NA,NA,126.114,9.524,FALSE,1,27568.75,FALSE,25,2010,6,"B",126512
11768,10,"6/25/2010",90.32,3.084,NA,NA,NA,NA,NA,126.1266,9.524,FALSE,1,26819.82,FALSE,26,2010,6,"B",126512
11828,10,"7/2/2010",92.89,2.978,NA,NA,NA,NA,NA,126.1392,9.199,FALSE,1,27233.92,FALSE,27,2010,7,"B",126512
11905,10,"7/9/2010",91.03,3.1,NA,NA,NA,NA,NA,126.1518,9.199,FALSE,1,25908.55,FALSE,28,2010,7,"B",126512
11946,10,"7/16/2010",91.8,2.971,NA,NA,NA,NA,NA,126.1498065,9.199,FALSE,1,26148.43,FALSE,29,2010,7,"B",126512
12023,10,"7/23/2010",88.44,3.112,NA,NA,NA,NA,NA,126.1283548,9.199,FALSE,1,25789.81,FALSE,30,2010,7,"B",126512
12125,10,"7/30/2010",85.03,3.017,NA,NA,NA,NA,NA,126.1069032,9.199,FALSE,1,27036.47,FALSE,31,2010,7,"B",126512
12197,10,"8/6/2010",86.13,3.123,NA,NA,NA,NA,NA,126.0854516,9.199,FALSE,1,26778.1,FALSE,32,2010,8,"B",126512
12239,10,"8/13/2010",88.37,3.049,NA,NA,NA,NA,NA,126.064,9.199,FALSE,1,27555.3,FALSE,33,2010,8,"B",126512
12295,10,"8/20/2010",89.88,3.041,NA,NA,NA,NA,NA,126.0766452,9.199,FALSE,1,27899.34,FALSE,34,2010,8,"B",126512
12366,10,"8/27/2010",84.99,3.022,NA,NA,NA,NA,NA,126.0892903,9.199,FALSE,1,26362.04,FALSE,35,2010,8,"B",126512
12448,10,"9/3/2010",83.8,3.087,NA,NA,NA,NA,NA,126.1019355,9.199,FALSE,1,29253.15,FALSE,36,2010,9,"B",126512
12515,10,"9/10/2010",84.04,2.961,NA,NA,NA,NA,NA,126.1145806,9.199,TRUE,1,27246.52,TRUE,37,2010,9,"B",126512
12646,10,"9/17/2010",85.52,3.028,NA,NA,NA,NA,NA,126.1454667,9.199,FALSE,1,31421.17,FALSE,38,2010,9,"B",126512
12716,10,"9/24/2010",85.75,2.939,NA,NA,NA,NA,NA,126.1900333,9.199,FALSE,1,32100.28,FALSE,39,2010,9,"B",126512
