"Store","Department","Year","Week","Sales","Type","Size"
28,1,2011,5,13893.83,"A",206302
29,1,2011,5,11148.58,"B",93638
30,1,2011,5,9066.8,"C",42988
31,1,2011,5,14498.77,"A",203750
32,1,2011,5,16951.6,"A",203007
33,1,2011,5,2041.06,"A",39690
34,1,2011,5,17661.5,"A",158114
35,1,2011,5,12313.63,"B",103681
36,1,2011,5,2284.75,"A",39910
37,1,2011,5,10052.27,"C",39910
38,1,2011,5,5939.38,"C",39690
39,1,2011,5,14960.31,"A",184109
40,1,2011,5,13552.35,"A",155083
41,1,2011,5,17639.16,"A",196321
42,1,2011,5,8429.44,"C",39690
43,1,2011,5,5692.48,"C",41062
44,1,2011,5,6913.97,"C",39910
45,1,2011,5,12774.72,"B",118221
1,1,2012,5,23510.49,"A",151315
2,1,2012,5,28813.06,"A",202307
3,1,2012,5,8925.18,"B",37392
4,1,2012,5,40680.72,"A",205863
5,1,2012,5,10252.35,"B",34875
6,1,2012,5,22832.08,"A",202505
7,1,2012,5,10326.44,"B",70713
8,1,2012,5,14684.61,"A",155078
9,1,2012,5,11937.48,"B",125833
10,1,2012,5,36444,"B",126512
11,1,2012,5,20147.53,"A",207499
12,1,2012,5,17382.12,"B",112238
13,1,2012,5,40584.76,"A",219622
14,1,2012,5,24639.71,"A",200898
15,1,2012,5,11440.05,"B",123737
16,1,2012,5,9756.59,"B",57197
17,1,2012,5,24612.72,"B",93188
18,1,2012,5,17483.71,"B",120653
19,1,2012,5,19033.38,"A",203819
20,1,2012,5,35899.22,"A",203742
21,1,2012,5,15062.72,"B",140167
22,1,2012,5,20263.99,"B",119557
23,1,2012,5,29369.44,"B",114533
24,1,2012,5,16210.32,"A",203819
25,1,2012,5,16222.88,"B",128107
26,1,2012,5,15586.93,"A",152513
27,1,2012,5,28754.84,"A",204184
28,1,2012,5,21546.21,"A",206302
29,1,2012,5,14279.55,"B",93638
30,1,2012,5,8804.43,"C",42988
31,1,2012,5,17732.88,"A",203750
32,1,2012,5,22583.58,"A",203007
33,1,2012,5,3345.71,"A",39690
34,1,2012,5,22155.74,"A",158114
35,1,2012,5,14975.18,"B",103681
36,1,2012,5,2156.11,"A",39910
37,1,2012,5,11328.25,"C",39910
38,1,2012,5,8632,"C",39690
39,1,2012,5,23169.26,"A",184109
40,1,2012,5,17068.69,"A",155083
41,1,2012,5,21175.22,"A",196321
42,1,2012,5,9810.83,"C",39690
43,1,2012,5,6358.67,"C",41062
44,1,2012,5,8045.64,"C",39910
45,1,2012,5,15721.57,"B",118221
1,1,2010,6,24924.5,"A",151315
2,1,2010,6,35034.06,"A",202307
3,1,2010,6,6453.58,"B",37392
4,1,2010,6,38724.42,"A",205863
5,1,2010,6,9323.89,"B",34875
6,1,2010,6,25619,"A",202505
7,1,2010,6,8970.97,"B",70713
8,1,2010,6,16181.89,"A",155078
9,1,2010,6,12861.4,"B",125833
10,1,2010,6,40212.84,"B",126512
11,1,2010,6,19611.13,"A",207499
12,1,2010,6,17426.75,"B",112238
13,1,2010,6,46761.9,"A",219622
14,1,2010,6,32842.31,"A",200898
15,1,2010,6,12239.38,"B",123737
16,1,2010,6,12786.85,"B",57197
17,1,2010,6,20304.23,"B",93188
18,1,2010,6,22252.71,"B",120653
19,1,2010,6,21500.58,"A",203819
20,1,2010,6,46021.21,"A",203742
21,1,2010,6,15501.96,"B",140167
22,1,2010,6,20686.31,"B",119557
23,1,2010,6,32452.79,"B",114533
24,1,2010,6,17309.89,"A",203819
25,1,2010,6,17778.48,"B",128107
26,1,2010,6,22926.65,"A",152513
27,1,2010,6,32313.79,"A",204184
28,1,2010,6,23176.07,"A",206302
29,1,2010,6,14715.68,"B",93638
30,1,2010,6,10158.77,"C",42988
31,1,2010,6,18187.71,"A",203750
32,1,2010,6,22675.43,"A",203007
33,1,2010,6,1586.58,"A",39690
34,1,2010,6,20347.48,"A",158114
35,1,2010,6,23067.89,"B",103681
36,1,2010,6,2144.48,"A",39910
37,1,2010,6,11283.23,"C",39910
38,1,2010,6,6732.38,"C",39690
39,1,2010,6,21244.5,"A",184109
40,1,2010,6,18116.85,"A",155083
41,1,2010,6,16971.05,"A",196321
42,1,2010,6,10425.77,"C",39690
43,1,2010,6,6476.76,"C",41062
44,1,2010,6,6871.2,"C",39910
45,1,2010,6,18628.11,"B",118221
1,1,2011,6,21665.76,"A",151315
2,1,2011,6,29606.98,"A",202307
3,1,2011,6,7522.25,"B",37392
4,1,2011,6,34778.17,"A",205863
5,1,2011,6,9819.84,"B",34875
6,1,2011,6,21182.66,"A",202505
7,1,2011,6,8976.04,"B",70713
8,1,2011,6,14479.01,"A",155078
9,1,2011,6,12386.14,"B",125833
10,1,2011,6,36145.83,"B",126512
11,1,2011,6,17995.14,"A",207499
12,1,2011,6,14550.06,"B",112238
13,1,2011,6,41444.71,"A",219622
14,1,2011,6,29204.74,"A",200898
15,1,2011,6,11523.89,"B",123737
16,1,2011,6,12202.86,"B",57197
17,1,2011,6,23584.07,"B",93188
18,1,2011,6,19052.97,"B",120653
19,1,2011,6,18384.21,"A",203819
20,1,2011,6,37792.4,"A",203742
21,1,2011,6,10595.43,"B",140167
22,1,2011,6,20586.27,"B",119557
23,1,2011,6,26869.74,"B",114533
24,1,2011,6,17208.57,"A",203819
25,1,2011,6,17872.51,"B",128107
26,1,2011,6,15601.99,"A",152513
27,1,2011,6,27391.1,"A",204184
28,1,2011,6,19907.91,"A",206302
29,1,2011,6,13870.27,"B",93638
30,1,2011,6,11383.02,"C",42988
31,1,2011,6,15739.45,"A",203750
32,1,2011,6,18764.18,"A",203007
33,1,2011,6,2225.79,"A",39690
34,1,2011,6,20884.52,"A",158114
35,1,2011,6,13762.2,"B",103681
36,1,2011,6,2510.68,"A",39910
37,1,2011,6,10861.21,"C",39910
38,1,2011,6,7618.97,"C",39690
39,1,2011,6,19488.92,"A",184109
40,1,2011,6,17108.12,"A",155083
41,1,2011,6,20805.57,"A",196321
42,1,2011,6,10674.88,"C",39690
43,1,2011,6,6035.77,"C",41062
44,1,2011,6,7198.61,"C",39910
45,1,2011,6,15339.62,"B",118221
1,1,2012,6,36988.49,"A",151315
2,1,2012,6,41247.02,"A",202307
3,1,2012,6,11343.41,"B",37392
4,1,2012,6,56486.03,"A",205863
5,1,2012,6,12558.72,"B",34875
6,1,2012,6,31773.8,"A",202505
7,1,2012,6,11874.73,"B",70713
8,1,2012,6,23263.71,"A",155078
9,1,2012,6,16209.23,"B",125833
10,1,2012,6,50434.11,"B",126512
11,1,2012,6,27452.86,"A",207499
12,1,2012,6,24137.25,"B",112238
13,1,2012,6,57911.49,"A",219622
14,1,2012,6,37572.2,"A",200898
15,1,2012,6,17198.39,"B",123737
16,1,2012,6,11185.53,"B",57197
17,1,2012,6,32331.78,"B",93188
18,1,2012,6,25672.9,"B",120653
19,1,2012,6,29548.06,"A",203819
20,1,2012,6,48824.09,"A",203742
21,1,2012,6,20044.37,"B",140167
22,1,2012,6,32097,"B",119557
23,1,2012,6,38864.35,"B",114533
24,1,2012,6,24976.31,"A",203819
25,1,2012,6,22435.9,"B",128107
26,1,2012,6,21241.61,"A",152513
27,1,2012,6,42622.4,"A",204184
28,1,2012,6,26416.71,"A",206302
29,1,2012,6,20576.29,"B",93638
30,1,2012,6,9872.96,"C",42988
31,1,2012,6,24293.52,"A",203750
32,1,2012,6,30465.71,"A",203007
33,1,2012,6,3925.11,"A",39690
34,1,2012,6,29389.74,"A",158114
35,1,2012,6,20751.07,"B",103681
36,1,2012,6,2803.25,"A",39910
37,1,2012,6,13120.93,"C",39910
38,1,2012,6,8711.4,"C",39690
39,1,2012,6,32103.3,"A",184109
40,1,2012,6,22014.52,"A",155083
41,1,2012,6,29045.4,"A",196321
42,1,2012,6,11602.44,"C",39690
43,1,2012,6,8590.82,"C",41062
44,1,2012,6,9126.11,"C",39910
45,1,2012,6,21345.08,"B",118221
1,1,2010,7,46039.49,"A",151315
2,1,2010,7,60483.7,"A",202307
3,1,2010,7,12748.72,"B",37392
4,1,2010,7,69872.44,"A",205863
5,1,2010,7,16861.1,"B",34875
6,1,2010,7,43749.81,"A",202505
7,1,2010,7,14026.65,"B",70713
8,1,2010,7,34262.09,"A",155078
9,1,2010,7,20273.94,"B",125833
10,1,2010,7,67699.32,"B",126512
11,1,2010,7,39996.04,"A",207499
12,1,2010,7,37734.82,"B",112238
13,1,2010,7,78415.94,"A",219622
14,1,2010,7,39972.64,"A",200898
15,1,2010,7,23252.04,"B",123737
16,1,2010,7,18305.6,"B",57197
17,1,2010,7,40434.79,"B",93188
18,1,2010,7,38184.43,"B",120653
19,1,2010,7,40188.68,"A",203819
20,1,2010,7,52734.17,"A",203742
21,1,2010,7,26220.41,"B",140167
22,1,2010,7,36372.35,"B",119557
23,1,2010,7,50360.71,"B",114533
24,1,2010,7,31931.41,"A",203819
25,1,2010,7,21868.27,"B",128107
26,1,2010,7,30333.08,"A",152513
27,1,2010,7,50566.61,"A",204184
28,1,2010,7,40543.21,"A",206302
29,1,2010,7,25741.59,"B",93638
30,1,2010,7,14346.05,"C",42988
31,1,2010,7,30255.61,"A",203750
32,1,2010,7,36390.07,"A",203007
33,1,2010,7,3767,"A",39690
34,1,2010,7,36644.15,"A",158114
35,1,2010,7,32214.61,"B",103681
36,1,2010,7,4091.72,"A",39910
37,1,2010,7,16184.33,"C",39910
38,1,2010,7,9132.55,"C",39690
39,1,2010,7,39584.16,"A",184109
40,1,2010,7,26138.18,"A",155083
41,1,2010,7,30204.01,"A",196321
42,1,2010,7,15725.68,"C",39690
43,1,2010,7,18597.64,"C",41062
44,1,2010,7,12315.65,"C",39910
45,1,2010,7,22416.94,"B",118221
1,1,2011,7,37887.17,"A",151315
2,1,2011,7,51382.63,"A",202307
3,1,2011,7,11283.98,"B",37392
4,1,2011,7,57504.1,"A",205863
5,1,2011,7,13407.55,"B",34875
6,1,2011,7,32780.58,"A",202505
7,1,2011,7,10605.06,"B",70713
8,1,2011,7,28054.5,"A",155078
9,1,2011,7,17609.54,"B",125833
10,1,2011,7,52118.42,"B",126512
11,1,2011,7,28905.93,"A",207499
12,1,2011,7,23821.56,"B",112238
13,1,2011,7,65023.56,"A",219622
14,1,2011,7,40290.75,"A",200898
15,1,2011,7,17831.96,"B",123737
16,1,2011,7,16305.74,"B",57197
17,1,2011,7,34220.34,"B",93188
18,1,2011,7,32639.19,"B",120653
19,1,2011,7,31068.4,"A",203819
20,1,2011,7,47343.72,"A",203742
21,1,2011,7,21673.9,"B",140167
22,1,2011,7,35664.48,"B",119557
23,1,2011,7,43500.89,"B",114533
24,1,2011,7,27714.41,"A",203819
25,1,2011,7,24166.09,"B",128107
26,1,2011,7,22235.79,"A",152513
27,1,2011,7,42794.6,"A",204184
28,1,2011,7,26500.8,"A",206302
29,1,2011,7,24284.65,"B",93638
30,1,2011,7,12033.61,"C",42988
31,1,2011,7,25274.04,"A",203750
32,1,2011,7,31439.76,"A",203007
33,1,2011,7,3507.06,"A",39690
34,1,2011,7,31104.35,"A",158114
35,1,2011,7,24441.69,"B",103681
36,1,2011,7,4077.42,"A",39910
37,1,2011,7,15129.06,"C",39910
38,1,2011,7,7409.97,"C",39690
39,1,2011,7,31740.91,"A",184109
40,1,2011,7,22370.66,"A",155083
41,1,2011,7,27715.69,"A",196321
42,1,2011,7,13437.56,"C",39690
43,1,2011,7,11217.71,"C",41062
44,1,2011,7,10387.91,"C",39910
45,1,2011,7,22469.46,"B",118221
1,1,2012,7,54060.1,"A",151315
2,1,2012,7,77394.09,"A",202307
3,1,2012,7,18407.08,"B",37392
4,1,2012,7,76195.06,"A",205863
5,1,2012,7,16925.06,"B",34875
6,1,2012,7,49060.88,"A",202505
7,1,2012,7,15035.59,"B",70713
8,1,2012,7,48385.22,"A",155078
9,1,2012,7,25676.28,"B",125833
10,1,2012,7,74930.33,"B",126512
11,1,2012,7,46917.11,"A",207499
12,1,2012,7,55235.63,"B",112238
13,1,2012,7,92776.14,"A",219622
14,1,2012,7,59755.54,"A",200898
15,1,2012,7,27314.57,"B",123737
16,1,2012,7,17408.39,"B",57197
17,1,2012,7,47349.2,"B",93188
18,1,2012,7,39185.61,"B",120653
19,1,2012,7,51105.54,"A",203819
20,1,2012,7,56760.68,"A",203742
21,1,2012,7,38871.46,"B",140167
22,1,2012,7,44028.72,"B",119557
23,1,2012,7,47129.06,"B",114533
24,1,2012,7,41423.22,"A",203819
25,1,2012,7,28817.01,"B",128107
26,1,2012,7,29871.33,"A",152513
27,1,2012,7,62503.57,"A",204184
28,1,2012,7,56283.33,"A",206302
29,1,2012,7,32103.65,"B",93638
30,1,2012,7,13585.94,"C",42988
31,1,2012,7,43413.16,"A",203750
32,1,2012,7,46999.2,"A",203007
33,1,2012,7,6971.28,"A",39690
34,1,2012,7,50097.48,"A",158114
35,1,2012,7,31378.87,"B",103681
36,1,2012,7,6963.81,"A",39910
37,1,2012,7,18958.15,"C",39910
38,1,2012,7,12289.19,"C",39690
39,1,2012,7,51402.01,"A",184109
40,1,2012,7,32669.17,"A",155083
41,1,2012,7,43429.14,"A",196321
42,1,2012,7,17174.63,"C",39690
43,1,2012,7,18745.46,"C",41062
44,1,2012,7,12552.68,"C",39910
45,1,2012,7,41776.39,"B",118221
1,1,2010,8,41595.55,"A",151315
2,1,2010,8,58221.52,"A",202307
3,1,2010,8,8918.31,"B",37392
4,1,2010,8,49937.09,"A",205863
5,1,2010,8,11417.67,"B",34875
6,1,2010,8,34750.82,"A",202505
7,1,2010,8,12477.79,"B",70713
8,1,2010,8,22319.25,"A",155078
9,1,2010,8,14819.97,"B",125833
10,1,2010,8,49748.33,"B",126512
11,1,2010,8,25294.18,"A",207499
12,1,2010,8,22135.29,"B",112238
13,1,2010,8,44042.19,"A",219622
14,1,2010,8,35163.18,"A",200898
15,1,2010,8,17391.31,"B",123737
16,1,2010,8,13714.98,"B",57197
17,1,2010,8,23375.58,"B",93188
18,1,2010,8,26068.39,"B",120653
19,1,2010,8,32365.74,"A",203819
20,1,2010,8,55649.79,"A",203742
21,1,2010,8,26567.03,"B",140167
22,1,2010,8,23035.7,"B",119557
23,1,2010,8,28504.7,"B",114533
